Mes,Popularidad
2011-06,89
2011-07,94
2011-08,81
2011-09,78
2011-10,74
2011-11,70
2011-12,79
2012-01,79
2012-02,75
2012-03,74
2012-04,68
2012-05,64
2012-06,75
2012-07,75
2012-08,68
2012-09,70
2012-10,71
2012-11,72
2012-12,89
2013-01,84
2013-02,77
2013-03,74
2013-04,71
2013-05,71
2013-06,78
2013-07,79
2013-08,78
2013-09,74
2013-10,74
2013-11,78
2013-12,91
2014-01,91
2014-02,79
2014-03,71
2014-04,69
2014-05,66
2014-06,71
2014-07,74
2014-08,74
2014-09,66
2014-10,66
2014-11,72
2014-12,78
2015-01,78
2015-02,71
2015-03,69
2015-04,69
2015-05,69
2015-06,79
2015-07,76
2015-08,76
2015-09,75
2015-10,73
2015-11,71
2015-12,76
2016-01,75
2016-02,62
2016-03,61
2016-04,59
2016-05,57
2016-06,61
2016-07,62
2016-08,57
2016-09,60
2016-10,59
2016-11,57
2016-12,68
2017-01,67
2017-02,58
2017-03,57
2017-04,60
2017-05,58
2017-06,61
2017-07,62
2017-08,59
2017-09,58
2017-10,61
2017-11,60
2017-12,70
2018-01,71
2018-02,64
2018-03,67
2018-04,62
2018-05,63
2018-06,63
2018-07,64
2018-08,64
2018-09,62
2018-10,60
2018-11,61
2018-12,79
2019-01,87
2019-02,69
2019-03,63
2019-04,60
2019-05,66
2019-06,67
2019-07,67
2019-08,61
2019-09,60
2019-10,59
2019-11,65
2019-12,69
2020-01,77
2020-02,66
2020-03,92
2020-04,100
2020-05,87
2020-06,74
2020-07,74
2020-08,72
2020-09,81
2020-10,71
2020-11,65
2020-12,75
2021-01,77
2021-02,68
