Mes,Popularidad
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,2
2014-02,3
2014-03,2
2014-04,2
2014-05,3
2014-06,2
2014-07,3
2014-08,3
2014-09,21
2014-10,14
2014-11,13
2014-12,16
2015-01,16
2015-02,17
2015-03,16
2015-04,17
2015-05,16
2015-06,17
2015-07,17
2015-08,19
2015-09,20
2015-10,22
2015-11,21
2015-12,27
2016-01,28
2016-02,25
2016-03,26
2016-04,22
2016-05,22
2016-06,21
2016-07,22
2016-08,23
2016-09,25
2016-10,31
2016-11,33
2016-12,36
2017-01,35
2017-02,32
2017-03,31
2017-04,38
2017-05,36
2017-06,36
2017-07,44
2017-08,45
2017-09,47
2017-10,62
2017-11,55
2017-12,70
2018-01,66
2018-02,59
2018-03,68
2018-04,57
2018-05,58
2018-06,52
2018-07,55
2018-08,61
2018-09,60
2018-10,70
2018-11,67
2018-12,85
2019-01,83
2019-02,70
2019-03,67
2019-04,65
2019-05,60
2019-06,58
2019-07,66
2019-08,59
2019-09,63
2019-10,70
2019-11,72
2019-12,84
2020-01,77
2020-02,68
2020-03,87
2020-04,95
2020-05,81
2020-06,72
2020-07,71
2020-08,66
2020-09,69
2020-10,77
2020-11,74
2020-12,97
2021-01,100
2021-02,78
