Mes,Popularidad
2011-06,28
2011-07,32
2011-08,29
2011-09,32
2011-10,34
2011-11,31
2011-12,38
2012-01,43
2012-02,39
2012-03,41
2012-04,41
2012-05,38
2012-06,41
2012-07,43
2012-08,44
2012-09,46
2012-10,47
2012-11,49
2012-12,62
2013-01,65
2013-02,59
2013-03,60
2013-04,56
2013-05,54
2013-06,60
2013-07,62
2013-08,69
2013-09,65
2013-10,66
2013-11,67
2013-12,82
2014-01,87
2014-02,76
2014-03,73
2014-04,66
2014-05,62
2014-06,69
2014-07,69
2014-08,72
2014-09,70
2014-10,68
2014-11,72
2014-12,80
2015-01,79
2015-02,76
2015-03,71
2015-04,69
2015-05,65
2015-06,77
2015-07,72
2015-08,74
2015-09,73
2015-10,71
2015-11,71
2015-12,75
2016-01,73
2016-02,63
2016-03,65
2016-04,55
2016-05,49
2016-06,52
2016-07,55
2016-08,53
2016-09,56
2016-10,59
2016-11,55
2016-12,66
2017-01,64
2017-02,57
2017-03,58
2017-04,59
2017-05,52
2017-06,54
2017-07,58
2017-08,61
2017-09,61
2017-10,65
2017-11,62
2017-12,72
2018-01,69
2018-02,63
2018-03,66
2018-04,61
2018-05,57
2018-06,61
2018-07,61
2018-08,63
2018-09,63
2018-10,61
2018-11,62
2018-12,77
2019-01,83
2019-02,66
2019-03,61
2019-04,57
2019-05,57
2019-06,60
2019-07,59
2019-08,60
2019-09,62
2019-10,56
2019-11,62
2019-12,67
2020-01,71
2020-02,64
2020-03,86
2020-04,100
2020-05,82
2020-06,69
2020-07,71
2020-08,65
2020-09,69
2020-10,69
2020-11,64
2020-12,80
2021-01,80
2021-02,64
