Mes,Popularidad
2011-06,1
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,2
2014-02,2
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,8
2014-08,16
2014-09,17
2014-10,17
2014-11,11
2014-12,4
2015-01,4
2015-02,2
2015-03,10
2015-04,1
2015-05,0
2015-06,10
2015-07,5
2015-08,9
2015-09,12
2015-10,12
2015-11,13
2015-12,16
2016-01,14
2016-02,15
2016-03,7
2016-04,10
2016-05,7
2016-06,14
2016-07,5
2016-08,10
2016-09,7
2016-10,9
2016-11,12
2016-12,12
2017-01,15
2017-02,11
2017-03,8
2017-04,12
2017-05,16
2017-06,13
2017-07,15
2017-08,14
2017-09,10
2017-10,18
2017-11,15
2017-12,21
2018-01,21
2018-02,20
2018-03,23
2018-04,25
2018-05,17
2018-06,18
2018-07,22
2018-08,22
2018-09,18
2018-10,28
2018-11,19
2018-12,41
2019-01,45
2019-02,35
2019-03,36
2019-04,37
2019-05,40
2019-06,36
2019-07,28
2019-08,39
2019-09,29
2019-10,41
2019-11,36
2019-12,41
2020-01,54
2020-02,85
2020-03,72
2020-04,71
2020-05,66
2020-06,45
2020-07,40
2020-08,40
2020-09,36
2020-10,45
2020-11,43
2020-12,56
2021-01,48
2021-02,100
