Mes,Popularidad
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,1
2013-06,0
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,2
2014-08,2
2014-09,14
2014-10,11
2014-11,9
2014-12,11
2015-01,10
2015-02,10
2015-03,9
2015-04,10
2015-05,9
2015-06,11
2015-07,13
2015-08,15
2015-09,14
2015-10,14
2015-11,13
2015-12,15
2016-01,14
2016-02,13
2016-03,14
2016-04,13
2016-05,13
2016-06,13
2016-07,14
2016-08,15
2016-09,16
2016-10,18
2016-11,18
2016-12,20
2017-01,22
2017-02,23
2017-03,21
2017-04,24
2017-05,22
2017-06,23
2017-07,28
2017-08,34
2017-09,31
2017-10,33
2017-11,36
2017-12,40
2018-01,45
2018-02,45
2018-03,42
2018-04,45
2018-05,44
2018-06,40
2018-07,41
2018-08,52
2018-09,44
2018-10,49
2018-11,47
2018-12,60
2019-01,61
2019-02,54
2019-03,46
2019-04,47
2019-05,47
2019-06,47
2019-07,53
2019-08,56
2019-09,53
2019-10,55
2019-11,55
2019-12,62
2020-01,61
2020-02,57
2020-03,83
2020-04,100
2020-05,70
2020-06,60
2020-07,58
2020-08,59
2020-09,53
2020-10,63
2020-11,66
2020-12,69
2021-01,76
2021-02,60
