Mes,Popularidad
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,1
2011-11,0
2011-12,0
2012-01,1
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,1
2012-11,1
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,4
2015-10,20
2015-11,19
2015-12,18
2016-01,16
2016-02,12
2016-03,13
2016-04,10
2016-05,10
2016-06,10
2016-07,11
2016-08,12
2016-09,15
2016-10,19
2016-11,21
2016-12,24
2017-01,27
2017-02,22
2017-03,22
2017-04,25
2017-05,23
2017-06,21
2017-07,23
2017-08,28
2017-09,33
2017-10,34
2017-11,36
2017-12,40
2018-01,44
2018-02,37
2018-03,37
2018-04,35
2018-05,34
2018-06,31
2018-07,31
2018-08,35
2018-09,42
2018-10,38
2018-11,40
2018-12,47
2019-01,53
2019-02,43
2019-03,37
2019-04,38
2019-05,33
2019-06,35
2019-07,43
2019-08,40
2019-09,40
2019-10,40
2019-11,42
2019-12,45
2020-01,49
2020-02,42
2020-03,89
2020-04,100
2020-05,66
2020-06,52
2020-07,42
2020-08,46
2020-09,49
2020-10,49
2020-11,61
2020-12,68
2021-01,81
2021-02,54
