Mes,Popularidad
2011-06,1
2011-07,2
2011-08,1
2011-09,14
2011-10,14
2011-11,15
2011-12,23
2012-01,25
2012-02,25
2012-03,25
2012-04,28
2012-05,25
2012-06,25
2012-07,29
2012-08,27
2012-09,28
2012-10,28
2012-11,32
2012-12,38
2013-01,35
2013-02,28
2013-03,30
2013-04,28
2013-05,28
2013-06,30
2013-07,36
2013-08,35
2013-09,34
2013-10,29
2013-11,32
2013-12,37
2014-01,39
2014-02,32
2014-03,30
2014-04,32
2014-05,30
2014-06,31
2014-07,38
2014-08,33
2014-09,31
2014-10,32
2014-11,33
2014-12,43
2015-01,44
2015-02,38
2015-03,40
2015-04,42
2015-05,40
2015-06,43
2015-07,48
2015-08,49
2015-09,47
2015-10,46
2015-11,49
2015-12,55
2016-01,49
2016-02,42
2016-03,46
2016-04,41
2016-05,38
2016-06,44
2016-07,52
2016-08,43
2016-09,43
2016-10,45
2016-11,46
2016-12,55
2017-01,55
2017-02,49
2017-03,52
2017-04,65
2017-05,55
2017-06,56
2017-07,70
2017-08,65
2017-09,61
2017-10,57
2017-11,58
2017-12,72
2018-01,72
2018-02,60
2018-03,63
2018-04,65
2018-05,65
2018-06,64
2018-07,67
2018-08,60
2018-09,53
2018-10,53
2018-11,54
2018-12,62
2019-01,67
2019-02,55
2019-03,52
2019-04,54
2019-05,49
2019-06,54
2019-07,63
2019-08,55
2019-09,51
2019-10,50
2019-11,54
2019-12,59
2020-01,62
2020-02,54
2020-03,77
2020-04,100
2020-05,81
2020-06,75
2020-07,78
2020-08,70
2020-09,62
2020-10,59
2020-11,59
2020-12,64
2021-01,73
2021-02,65
