Mes,Popularidad
2011-06,20
2011-07,23
2011-08,21
2011-09,20
2011-10,20
2011-11,18
2011-12,21
2012-01,24
2012-02,23
2012-03,22
2012-04,20
2012-05,20
2012-06,22
2012-07,22
2012-08,21
2012-09,21
2012-10,24
2012-11,24
2012-12,28
2013-01,27
2013-02,26
2013-03,25
2013-04,24
2013-05,23
2013-06,26
2013-07,27
2013-08,27
2013-09,27
2013-10,27
2013-11,27
2013-12,32
2014-01,33
2014-02,29
2014-03,27
2014-04,26
2014-05,25
2014-06,26
2014-07,28
2014-08,29
2014-09,29
2014-10,28
2014-11,30
2014-12,33
2015-01,33
2015-02,32
2015-03,31
2015-04,32
2015-05,31
2015-06,35
2015-07,35
2015-08,36
2015-09,35
2015-10,36
2015-11,36
2015-12,39
2016-01,41
2016-02,32
2016-03,32
2016-04,31
2016-05,30
2016-06,32
2016-07,34
2016-08,31
2016-09,33
2016-10,35
2016-11,34
2016-12,39
2017-01,39
2017-02,36
2017-03,35
2017-04,41
2017-05,36
2017-06,37
2017-07,40
2017-08,42
2017-09,41
2017-10,43
2017-11,44
2017-12,50
2018-01,50
2018-02,47
2018-03,46
2018-04,46
2018-05,47
2018-06,46
2018-07,47
2018-08,47
2018-09,44
2018-10,45
2018-11,45
2018-12,58
2019-01,63
2019-02,49
2019-03,48
2019-04,45
2019-05,46
2019-06,48
2019-07,54
2019-08,51
2019-09,49
2019-10,49
2019-11,51
2019-12,58
2020-01,61
2020-02,56
2020-03,81
2020-04,100
2020-05,80
2020-06,70
2020-07,65
2020-08,65
2020-09,64
2020-10,61
2020-11,59
2020-12,67
2021-01,73
2021-02,60
