Mes,Popularidad
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,18
2012-02,22
2012-03,21
2012-04,23
2012-05,19
2012-06,21
2012-07,22
2012-08,21
2012-09,23
2012-10,24
2012-11,24
2012-12,25
2013-01,28
2013-02,29
2013-03,28
2013-04,28
2013-05,29
2013-06,34
2013-07,30
2013-08,41
2013-09,41
2013-10,45
2013-11,47
2013-12,56
2014-01,62
2014-02,57
2014-03,49
2014-04,48
2014-05,44
2014-06,47
2014-07,48
2014-08,53
2014-09,45
2014-10,50
2014-11,46
2014-12,58
2015-01,59
2015-02,57
2015-03,54
2015-04,54
2015-05,51
2015-06,56
2015-07,54
2015-08,57
2015-09,49
2015-10,55
2015-11,48
2015-12,54
2016-01,53
2016-02,46
2016-03,45
2016-04,40
2016-05,36
2016-06,38
2016-07,39
2016-08,37
2016-09,40
2016-10,44
2016-11,40
2016-12,45
2017-01,47
2017-02,42
2017-03,40
2017-04,45
2017-05,41
2017-06,37
2017-07,45
2017-08,51
2017-09,49
2017-10,53
2017-11,52
2017-12,64
2018-01,60
2018-02,56
2018-03,59
2018-04,56
2018-05,58
2018-06,50
2018-07,53
2018-08,64
2018-09,56
2018-10,64
2018-11,62
2018-12,74
2019-01,86
2019-02,71
2019-03,71
2019-04,61
2019-05,61
2019-06,56
2019-07,58
2019-08,62
2019-09,61
2019-10,63
2019-11,63
2019-12,72
2020-01,73
2020-02,75
2020-03,88
2020-04,100
2020-05,82
2020-06,79
2020-07,74
2020-08,73
2020-09,76
2020-10,79
2020-11,71
2020-12,79
2021-01,91
2021-02,79
